Date,Open,High,Low,Close,Adj Close,Volume
2014-02-04,79.250000,80.400002,76.290001,79.430000,79.430000,1800000
2014-02-05,91.779999,95.750000,89.000000,89.610001,89.610001,4398100
2014-02-06,88.849998,90.379997,87.099998,88.589996,88.589996,1390300
2014-02-07,88.050003,90.000000,86.900002,89.970001,89.970001,1911300
2014-02-10,90.000000,91.000000,87.489998,89.489998,89.489998,1095800
2014-02-11,89.739998,95.000000,88.809998,94.589996,94.589996,1349200
2014-02-12,94.959999,96.900002,91.419998,92.459999,92.459999,1143300
2014-02-13,93.440002,97.989998,92.599998,97.570000,97.570000,1688200
2014-02-14,96.769997,98.610001,95.769997,97.930000,97.930000,725600
2014-02-18,98.139999,98.400002,96.300003,96.589996,96.589996,545900
2014-02-19,96.180000,96.900002,93.099998,94.379997,94.379997,785800
2014-02-20,94.699997,97.430000,94.389999,97.129997,97.129997,813800
2014-02-21,98.000000,100.730003,97.459999,100.050003,100.050003,1444500
2014-02-24,99.949997,100.400002,98.190002,98.730003,98.730003,962400
2014-02-25,99.000000,101.709999,98.440002,100.279999,100.279999,734700
2014-02-26,101.860001,102.370003,97.080002,98.260002,98.260002,941200
2014-02-27,96.500000,97.529999,94.000000,97.000000,97.000000,2343700
2014-02-28,97.000000,99.400002,90.970001,94.339996,94.339996,1840800
2014-03-03,93.230003,96.779999,92.209999,95.570000,95.570000,1110000
2014-03-04,97.959999,97.959999,96.260002,97.239998,97.239998,1057200
2014-03-05,95.500000,95.800003,93.099998,94.349998,94.349998,1169500
2014-03-06,94.440002,96.629997,93.779999,94.330002,94.330002,942400
2014-03-07,94.580002,95.500000,90.110001,90.839996,90.839996,1387600
2014-03-10,90.139999,93.690002,89.459999,90.879997,90.879997,1002000
2014-03-11,91.050003,93.080002,90.019997,91.050003,91.050003,1017000
2014-03-12,90.010002,91.849998,88.230003,90.650002,90.650002,1304500
2014-03-13,90.570000,93.599998,88.480003,89.150002,89.150002,1074900
2014-03-14,88.730003,91.230003,88.519997,90.309998,90.309998,1014900
2014-03-17,91.230003,92.000000,86.699997,90.459999,90.459999,1159100
2014-03-18,91.620003,92.970001,89.360001,92.040001,92.040001,997200
2014-03-19,92.150002,92.389999,87.820000,89.220001,89.220001,1090300
2014-03-20,88.449997,91.430000,88.129997,90.019997,90.019997,1642100
2014-03-21,89.250000,90.680000,83.290001,83.290001,83.290001,5519200
2014-03-24,84.139999,84.139999,77.110001,79.419998,79.419998,3999300
2014-03-25,79.470001,80.440002,74.250000,74.879997,74.879997,3436400
2014-03-26,75.519997,76.250000,72.199997,74.239998,74.239998,2209900
2014-03-27,74.180000,76.410004,72.050003,73.860001,73.860001,2159500
2014-03-28,74.250000,76.199997,73.449997,76.199997,76.199997,2760200
2014-03-31,76.209999,78.000000,75.519997,76.080002,76.080002,1537000
2014-04-01,78.349998,81.279999,76.989998,81.180000,81.180000,2757400
2014-04-02,81.449997,82.099998,77.400002,77.739998,77.739998,1601900
2014-04-03,77.760002,77.989998,70.970001,71.809998,71.809998,2227500
2014-04-04,72.900002,73.980003,69.050003,71.120003,71.120003,2969300
2014-04-07,70.099998,71.650002,66.169998,69.519997,69.519997,2390300
2014-04-08,69.720001,71.529999,68.199997,68.470001,68.470001,1434500
2014-04-09,69.209999,73.720001,69.169998,72.870003,72.870003,1735200
2014-04-10,71.930000,72.269997,63.900002,65.519997,65.519997,2693800
2014-04-11,63.779999,66.050003,63.000000,63.169998,63.169998,1676800
2014-04-14,63.889999,67.139999,63.360001,64.379997,64.379997,1165600
2014-04-15,64.489998,65.910004,61.720001,63.480000,63.480000,1732100
2014-04-16,64.400002,65.150002,61.880001,64.010002,64.010002,1682700
2014-04-17,64.000000,65.680000,62.529999,64.680000,64.680000,1164100
2014-04-21,65.070000,65.260002,62.820000,63.610001,63.610001,737200
2014-04-22,63.849998,68.629997,63.529999,67.000000,67.000000,2190800
2014-04-23,67.099998,67.099998,63.099998,63.330002,63.330002,1257800
2014-04-24,63.590000,63.970001,56.970001,59.939999,59.939999,2800700
2014-04-25,59.090000,60.340000,55.880001,56.230000,56.230000,2033800
2014-04-28,56.360001,57.820000,53.700001,55.750000,55.750000,2150900
2014-04-29,56.020000,57.450001,53.639999,56.650002,56.650002,3088600
2014-04-30,56.340000,56.340000,54.599998,55.270000,55.270000,1441200
2014-05-01,55.709999,59.580002,55.320000,58.320000,58.320000,3025700
2014-05-02,58.570000,59.209999,56.369999,58.459999,58.459999,2487400
2014-05-05,57.700001,59.080002,57.049999,57.990002,57.990002,3870800
2014-05-06,61.980000,62.950001,56.599998,58.020000,58.020000,8200700
2014-05-07,58.730000,59.000000,52.820000,56.360001,56.360001,4382900
2014-05-08,55.439999,57.980000,53.139999,55.209999,55.209999,3186000
2014-05-09,54.930000,56.189999,53.139999,55.000000,55.000000,2479300
2014-05-12,55.000000,58.090000,54.270000,57.849998,57.849998,2257500
2014-05-13,57.700001,58.099998,53.880001,54.130001,54.130001,3262900
2014-05-14,53.599998,57.000000,53.400002,54.779999,54.779999,2307700
2014-05-15,54.750000,55.110001,52.020000,54.389999,54.389999,2524200
2014-05-16,54.610001,54.869999,52.750000,54.610001,54.610001,1520100
2014-05-19,54.340000,58.189999,54.029999,57.660000,57.660000,2763300
2014-05-20,57.639999,59.580002,55.580002,57.110001,57.110001,2504200
2014-05-21,57.389999,57.959999,54.360001,57.880001,57.880001,3186000
2014-05-22,57.990002,59.680000,56.799999,58.630001,58.630001,1861000
2014-05-23,58.689999,60.770000,56.939999,60.599998,60.599998,1573500
2014-05-27,61.290001,64.379997,61.080002,62.849998,62.849998,2679500
2014-05-28,63.990002,64.000000,61.110001,62.020000,62.020000,2157600
2014-05-29,62.459999,62.700001,60.680000,61.500000,61.500000,1194700
2014-05-30,60.849998,61.180000,57.160000,58.040001,58.040001,2068700
2014-06-02,57.740002,58.459999,56.360001,58.090000,58.090000,1786200
2014-06-03,57.889999,58.029999,55.799999,56.169998,56.169998,1496400
2014-06-04,55.540001,58.259998,55.430000,56.959999,56.959999,1570700
2014-06-05,56.880001,59.980000,56.060001,59.779999,59.779999,1614700
2014-06-06,60.000000,62.099998,59.549999,61.709999,61.709999,1556700
2014-06-09,61.320000,62.480000,60.119999,61.900002,61.900002,1199000
2014-06-10,61.650002,63.070000,60.849998,61.360001,61.360001,644400
2014-06-11,61.400002,64.830002,61.299999,63.959999,63.959999,2132600
2014-06-12,63.270000,65.260002,62.799999,63.419998,63.419998,1026900
2014-06-13,63.790001,64.480003,62.610001,64.139999,64.139999,819800
2014-06-16,64.050003,66.440002,63.759998,66.230003,66.230003,1318600
2014-06-17,66.459999,66.900002,65.139999,65.580002,65.580002,975400
2014-06-18,66.000000,68.139999,64.599998,67.690002,67.690002,1025900
2014-06-19,68.199997,69.209999,66.639999,67.529999,67.529999,1127200
